,city,latitude,longitude,temperature_farenheit,humidity_percent,cloudiness_percent,windspeed_mph
75,vila franca do campo,37.72,-25.43,68.0,82,40,6.93
76,atuona,-9.8,-139.03,79.45,76,4,15.52
77,vestmanna,62.16,-7.17,51.8,81,21,19.46
78,chicama,-7.84,-79.15,59.76,85,16,2.95
79,ucluelet,48.93,-125.55,55.99,89,53,9.24
80,victoria,22.29,114.16,86.56,62,20,14.99
81,hambantota,6.12,81.12,93.2,56,75,14.99
82,bethel,41.37,-73.41,64.69,88,90,5.82
83,durazno,-33.41,-56.5,41.47,95,0,8.12
84,isangel,-19.55,169.27,73.4,73,75,6.93
85,mollendo,-17.02,-72.01,57.88,81,74,4.9
86,nikolskoye,59.7,30.79,68.9,37,0,11.18
87,avarua,-21.21,-159.78,69.8,73,15,5.82
88,petropavlovsk-kamchatskiy,53.05,158.65,55.4,100,75,8.95
89,gurupa,-1.41,-51.64,71.56,98,95,1.95
90,kihurio,-4.47,38.07,77.02,40,23,11.25
91,teknaf,20.86,92.31,85.06,78,100,6.35
92,danesti,46.52,25.75,72.16,51,58,2.06
93,churapcha,62.0,132.43,83.84,37,41,8.95
94,mar del plata,-38.0,-57.56,41.99,93,65,6.93
95,olafsvik,64.89,-23.71,44.98,82,99,35.66
96,lorengau,-2.02,147.27,82.96,71,98,5.7
97,marathon,44.9,-89.77,63.09,93,75,3.36
98,riyadh,24.69,46.72,109.4,9,0,10.29
99,kirakira,-10.45,161.92,78.06,85,96,9.08
100,qaanaaq,77.48,-69.36,43.77,61,95,11.16
101,ponta do sol,32.67,-17.1,70.43,73,20,5.82
102,zhigansk,66.77,123.37,60.35,70,100,9.57
103,guerrero negro,27.98,-114.06,65.03,90,0,7.27
104,sorland,67.67,12.69,57.2,93,75,13.87
105,pisco,-13.7,-76.22,60.89,82,90,2.24
106,bom jesus,-9.07,-44.36,67.05,73,0,1.79
107,thunder bay,48.4,-89.32,55.63,100,20,3.36
108,saint george,37.1,-113.58,86.0,19,1,8.05
109,orlik,52.52,99.83,59.18,50,65,12.71
110,ludvika,60.15,15.19,71.87,60,20,10.29
111,kaitangata,-46.28,169.85,42.01,80,100,4.0
112,qasigiannguit,68.82,-51.19,48.2,66,90,1.12
113,tromso,69.65,18.96,60.8,72,90,21.92
114,itoman,26.12,127.67,79.88,88,75,12.75
115,maragogi,-9.01,-35.22,74.08,86,17,8.14
116,nioro,13.35,-15.75,81.64,77,100,8.72
117,hovd,48.01,91.64,73.53,30,0,9.35
118,luwingu,-10.26,29.93,67.14,34,19,11.95
119,adrar,20.5,-10.07,95.79,18,6,9.57
120,islamkot,24.7,70.18,100.63,41,23,13.09
121,havoysund,71.0,24.66,59.77,87,97,3.36
122,debre sina,9.85,39.77,66.11,56,81,5.95
123,rabo de peixe,37.8,-25.58,68.0,82,40,6.93
124,pak chong,14.71,101.42,87.21,67,26,5.23
125,surt,31.21,16.59,84.63,55,0,14.61
126,manubul,5.47,120.8,83.57,67,7,4.03
127,bonavista,48.65,-53.11,50.0,78,84,7.0
128,wanning,18.8,110.4,86.32,74,24,14.56
129,san pedro,14.35,121.02,92.07,55,89,8.05
130,goderich,43.75,-81.72,64.38,91,0,5.44
131,kualakapuas,-3.01,114.39,84.2,89,90,8.05
132,kabinda,-6.13,24.48,82.89,25,53,9.01
133,antsirabe,-19.85,47.03,59.49,43,52,11.61
134,kendrapara,20.5,86.42,93.2,71,40,10.29
135,geraldton,-28.77,114.6,57.2,71,40,10.29
136,caconda,-13.73,15.07,66.24,31,8,10.8
137,gorontalo,0.54,123.06,78.42,83,81,0.98
138,shakhtinsk,49.71,72.59,86.0,33,0,26.84
139,deputatskiy,69.3,139.9,47.46,60,32,16.26
140,barrow,71.29,-156.79,33.8,74,90,14.99
141,asosa,10.07,34.53,67.21,91,100,3.74
142,masumbwe,-3.63,32.18,78.69,24,75,7.76
143,esperance,-33.87,121.9,51.8,93,75,19.46
144,gat,31.61,34.76,84.81,53,0,1.99
145,hrubieszow,50.8,23.89,67.93,72,100,5.53
146,sistranda,63.73,8.83,59.0,87,75,16.11
147,leningradskiy,69.38,178.42,40.93,85,8,11.12
148,taldan,53.67,124.8,80.19,57,98,5.48
149,ponta delgada,37.73,-25.67,68.0,82,40,6.93
150,kainantu,-6.29,145.87,61.56,95,71,1.52
151,rawson,-43.3,-65.1,46.29,88,100,16.91
152,saint anthony,45.02,-93.22,69.28,88,1,2.17
153,norman wells,65.28,-126.83,50.0,93,40,1.92
154,mount gambier,-37.83,140.77,50.0,81,50,8.05
155,landskrona,55.87,12.83,69.39,61,11,5.99
156,paragominas,-2.97,-47.48,69.46,96,59,2.95
157,ilulissat,69.22,-51.1,48.2,66,91,1.12
158,takoradi,4.88,-1.76,77.58,79,97,7.27
159,vostok,46.49,135.88,70.83,85,0,2.57
160,lebu,-37.62,-73.65,53.46,90,100,19.24
161,ajdabiya,30.76,20.23,92.44,26,0,8.28
162,muros,42.78,-9.06,79.0,49,4,5.99
163,salina cruz,16.17,-95.2,77.85,78,62,9.01
164,hermanus,-34.42,19.23,64.99,51,0,4.0
165,druzhinino,56.79,59.51,91.11,32,0,6.29
166,kodiak,57.79,-152.41,55.4,87,90,10.29
167,cap malheureux,-19.98,57.61,77.0,59,39,8.99
168,antofagasta,-23.65,-70.4,55.4,76,90,5.82
169,san quintin,30.48,-115.95,65.39,90,1,8.19
170,caravelas,-17.71,-39.25,71.13,70,47,6.35
171,broome,42.25,-75.83,65.08,93,90,8.05
172,bengkulu,-3.8,102.27,82.15,79,99,5.95
173,sambava,-14.27,50.17,72.75,82,97,20.07
174,clyde river,70.47,-68.59,44.6,81,1,11.41
175,aguazul,5.17,-72.55,69.13,82,31,2.93
176,alofi,-19.06,-169.92,73.4,88,70,5.82
177,maxixe,-23.86,35.35,69.37,68,75,8.05
178,sayanogorsk,53.09,91.4,80.37,46,14,4.63
179,ostrovnoy,68.05,39.51,61.12,49,0,8.34
180,sorong,-0.88,131.25,81.03,79,95,4.54
181,loubomo,-4.2,12.67,79.27,60,96,5.46
182,los llanos de aridane,28.66,-17.92,72.03,69,20,9.17
183,auki,-8.77,160.7,78.48,84,81,5.3
184,coquimbo,-29.95,-71.34,50.0,93,24,2.24
185,numan,9.47,12.03,83.08,66,100,12.59
186,grindavik,63.84,-22.43,44.6,75,75,33.33
187,severo-kurilsk,50.68,156.12,50.49,91,62,1.68
188,tevaitoa,-16.78,-151.5,78.04,73,6,4.56
189,lavrentiya,65.58,-171.0,47.86,83,12,0.38
190,fukue,32.69,128.84,75.2,83,40,8.05
191,buala,-8.14,159.59,80.55,78,95,4.16
192,orvieto,42.72,12.11,78.85,52,34,1.99
193,yulara,-25.24,130.99,62.6,20,0,3.36
194,carson city,39.16,-119.77,61.03,34,1,4.41
195,sao filipe,14.9,-24.5,75.25,77,55,6.82
196,lata,40.16,-8.33,87.08,37,0,3.04
197,fuerte olimpo,-21.04,-57.87,68.4,53,31,4.36
198,the valley,18.22,-63.06,80.53,78,40,6.93
199,ruiselede,51.06,3.38,70.0,79,63,3.0
200,portland,45.52,-122.68,61.75,82,40,5.82
201,bambous virieux,-20.34,57.76,76.06,69,75,16.11
202,biak,-0.91,122.88,78.13,83,95,4.9
203,alexandria,31.22,29.96,86.0,58,20,11.41
204,upernavik,72.79,-56.15,45.39,63,70,3.09
205,airai,-8.93,125.41,61.47,100,81,2.3
206,tiksi,71.69,128.87,42.46,76,100,21.18
207,provideniya,64.38,-173.3,56.01,73,73,2.01
208,valparaiso,-33.04,-71.63,51.8,93,90,5.82
209,kampene,-3.6,26.67,87.31,34,36,4.61
210,dolores,-36.31,-57.68,40.96,89,49,7.07
211,anadyr,64.75,177.48,53.26,87,38,11.18
212,hilo,19.73,-155.09,67.84,88,90,3.36
213,luganville,-15.53,167.17,75.74,85,83,6.15
214,zmeinogorsk,51.16,82.19,81.41,55,0,21.43
215,fulton,33.77,-84.45,73.92,88,1,3.15
216,mount isa,-20.73,139.5,59.0,24,62,3.36
217,darovskoy,58.77,47.96,70.47,61,66,7.29
218,dunedin,-45.87,170.5,42.91,80,100,3.0
219,chagoda,59.16,35.33,58.37,88,100,7.16
220,kralendijk,12.15,-68.27,82.4,78,34,17.22
221,portadown,54.42,-6.44,62.51,93,75,10.29
222,laguna,38.42,-121.42,62.08,72,1,8.05
223,mahebourg,-20.41,57.7,75.2,69,75,16.11
224,deniliquin,-35.53,144.97,44.08,79,0,0.98
225,meulaboh,4.14,96.13,79.21,87,90,4.16
226,komsomolskiy,40.43,71.72,93.2,23,100,9.17
227,bereznik,62.86,42.71,66.43,87,90,6.24
228,nizhnyaya poyma,56.16,97.19,62.28,59,63,12.03
229,chapais,49.78,-74.85,64.4,100,90,4.7
230,sangar,63.92,127.47,77.97,51,37,2.19
231,kastamonu,41.5,33.67,69.8,77,75,4.7
232,kavaratti,10.57,72.64,83.39,80,100,19.53
233,praia da vitoria,38.73,-27.07,68.0,88,75,11.86
234,ambilobe,-13.2,49.05,87.73,37,22,3.83
235,mezen,65.85,44.24,63.09,65,88,3.47
236,grand gaube,-20.01,57.66,77.0,59,44,8.99
237,dwarka,22.24,68.97,88.74,70,36,3.69
238,atar,20.52,-13.05,90.79,33,0,4.16
239,businga,3.33,20.88,70.02,97,100,3.69
240,caldwell,43.66,-116.69,64.47,68,1,4.7
241,sayhat,26.49,50.04,115.7,14,0,13.87
242,celestun,20.87,-90.4,77.31,89,2,9.51
243,comodoro rivadavia,-45.87,-67.5,41.0,93,90,12.75
244,asau,46.43,26.4,75.2,60,20,4.7
245,souillac,-20.52,57.52,75.2,69,75,16.11
246,fairbanks,64.84,-147.72,57.11,82,90,3.22
247,skjervoy,70.03,20.97,62.6,67,100,5.82
248,half moon bay,37.46,-122.43,58.21,93,90,6.93
249,lakes entrance,-37.88,147.98,48.99,93,12,5.53
250,huilong,31.81,121.66,76.93,94,97,1.99
251,ahuimanu,21.44,-157.84,78.04,74,40,4.7
252,tigil,57.8,158.67,54.5,84,100,5.3
253,marsh harbour,26.54,-77.06,81.88,79,10,15.95
254,grand-santi,4.25,-54.38,70.7,97,99,1.23
255,yar-sale,66.83,70.83,64.85,49,74,9.01
256,camapua,-19.53,-54.04,65.91,44,0,3.36
257,port-cartier,50.03,-66.87,57.76,71,75,5.82
258,svetlogorsk,52.63,29.73,73.98,54,5,3.85
259,birsk,55.42,55.54,80.82,66,45,4.09
260,daman,20.42,72.85,86.45,75,25,20.76
261,faro,37.02,-7.93,84.2,39,0,8.05
262,oktyabrskoye,43.06,44.74,75.09,73,40,6.71
263,mackay,-21.15,149.2,54.99,62,0,8.05
264,arraial do cabo,-22.97,-42.03,66.2,82,20,8.05
265,nancha,47.13,129.27,83.37,59,15,4.65
266,beaverlodge,55.22,-119.44,57.2,71,40,13.87
267,panaba,21.28,-88.27,75.74,96,4,3.87
268,vanimo,-2.67,141.3,80.8,76,65,3.09
269,safford,32.83,-109.71,75.2,69,20,4.38
270,tianpeng,30.99,103.94,93.56,38,20,2.24
271,nanortalik,60.14,-45.24,48.87,54,33,8.81
272,pavilosta,56.89,21.19,74.59,44,0,6.93
273,chokwe,-24.53,32.98,71.91,44,8,7.14
274,jaguariaiva,-24.25,-49.71,60.01,99,13,1.28
275,kieta,-6.22,155.63,80.2,78,63,7.76
276,la ronge,55.1,-105.28,59.0,77,75,5.82
277,cherskiy,68.75,161.3,50.05,67,0,12.12
278,meshchovsk,54.32,35.28,64.58,76,94,4.59
279,presidencia roque saenz pena,-26.79,-60.44,60.01,98,96,3.71
280,amapa,1.0,-52.0,69.98,98,47,0.85
281,codrington,-38.27,141.97,44.69,85,28,9.71
282,bac lieu,9.29,105.72,85.78,68,49,7.74
283,trelew,-43.25,-65.31,45.14,91,100,14.25
284,viru,-8.42,-78.75,61.97,73,1,1.92
285,buarcos,40.17,-8.88,85.77,48,0,1.12
286,khani,41.96,42.96,86.0,55,40,9.17
287,cabedelo,-6.98,-34.83,69.8,100,75,4.7
288,sedhiou,12.71,-15.56,80.6,88,90,4.7
289,najran,17.49,44.13,102.2,21,40,11.41
290,erenhot,43.65,111.98,77.38,34,100,9.78
291,kamenka,51.32,42.77,80.01,35,99,1.99
292,port hardy,50.7,-127.42,54.37,82,82,5.3
293,kavieng,-2.57,150.8,83.07,72,9,6.02
294,tlaltenango,19.17,-98.33,52.41,68,4,3.02
295,katsuura,35.13,140.3,68.47,94,75,10.29
296,calama,-22.47,-68.93,44.6,14,0,21.92
297,mayumba,-3.43,10.66,73.67,84,98,4.52
298,honiara,-9.43,159.95,78.8,88,75,3.8
299,nizhniy kuranakh,58.84,125.49,79.02,68,66,2.93
300,bousso,10.48,16.71,77.43,82,100,3.51
301,naze,28.37,129.48,82.4,88,75,17.22
302,vardo,70.37,31.11,55.4,82,93,3.36
303,adilabad,19.67,78.53,86.85,67,43,11.95
304,bambanglipuro,-7.95,110.28,78.53,82,77,12.35
305,bowen,-20.02,148.23,55.15,76,0,3.36
306,srednekolymsk,67.45,153.68,45.61,95,100,6.82
307,tommot,58.96,126.29,80.92,66,80,4.18
308,sens,48.17,3.33,69.01,64,8,7.09
309,pokhara,28.23,83.98,81.5,76,100,3.4
310,aksha,50.28,113.29,70.09,47,80,7.63
311,road town,18.42,-64.62,80.67,82,6,14.0
312,zaysan,47.47,84.87,96.84,16,9,10.85
313,olinda,-8.01,-34.86,69.8,94,75,4.7
314,trebisacce,39.87,16.53,84.99,31,26,5.99
315,san ramon de la nueva oran,-23.13,-64.33,52.0,94,23,1.07
316,vossevangen,60.62,6.42,57.0,93,100,5.5
317,palmer,42.16,-72.33,60.24,87,90,4.27
318,muyezerskiy,63.93,31.65,68.52,30,0,6.33
319,namtsy,62.72,129.67,87.8,35,0,4.47
320,klaksvik,62.23,-6.59,51.8,81,18,19.46
321,massa marittima,43.05,10.89,80.6,54,20,4.7
322,pacifica,37.61,-122.49,56.44,93,90,6.93
323,longyearbyen,78.22,15.64,50.0,76,40,3.36
324,kuah,6.33,99.84,86.0,79,20,2.24
325,lethem,3.38,-59.8,72.9,89,42,3.71
326,arona,28.1,-16.68,78.96,73,20,3.36
327,tabou,4.42,-7.35,78.22,71,73,6.42
328,lagoa,39.05,-27.98,69.4,73,100,10.25
329,semey,50.41,80.23,98.6,18,57,11.18
330,saldanha,-33.01,17.94,64.4,42,0,5.82
331,zhezkazgan,47.8,67.71,96.8,11,29,11.18
332,chuy,-33.7,-53.46,47.3,94,0,5.1
333,cockburn town,21.46,-71.14,82.49,78,1,17.47
334,kupang,-10.17,123.58,80.6,74,20,4.7
335,cidreira,-30.18,-50.21,55.65,94,90,1.12
336,berlevag,70.86,29.09,55.4,82,65,16.11
337,colborne,44.0,-77.88,71.6,88,75,11.41
338,killarney,52.05,-9.52,62.6,100,90,17.22
339,pauini,-7.71,-66.98,68.49,88,2,0.49
340,sinegorsk,47.17,142.5,66.2,82,75,6.71
341,yola,9.2,12.48,81.16,72,100,5.88
342,kibala,9.11,18.35,78.8,78,40,6.93
343,muisne,0.6,-80.03,75.83,91,81,8.12
344,forbes,-33.38,148.02,46.99,72,0,6.22
345,mucurapo,10.67,-61.53,77.0,94,20,5.82
346,ahipara,-35.17,173.17,58.77,89,100,8.61
347,oskarshamn,57.26,16.45,74.1,64,3,5.82
348,hailar,49.2,119.7,77.86,61,82,10.89
349,nishihara,26.18,127.76,79.97,88,90,6.93
350,husavik,66.04,-17.34,46.47,92,100,20.56
351,bandarbeyla,9.49,50.81,91.78,36,100,31.65
352,sisimiut,66.94,-53.67,50.99,67,17,2.8
353,standerton,-26.93,29.24,64.0,14,0,4.0
354,suluq,31.67,20.25,92.12,31,0,11.83
355,christchurch,-43.53,172.63,45.37,100,99,11.41
356,kyshtovka,56.55,76.63,87.91,56,1,2.17
357,vagur,61.47,-6.81,51.62,76,20,26.75
358,pueblo nuevo,23.38,-105.38,58.51,87,96,3.71
359,egvekinot,66.32,-179.17,53.55,89,98,1.25
360,moshenskoye,58.51,34.59,56.52,88,100,6.98
361,cabo san lucas,22.89,-109.91,75.4,67,71,10.27
362,gorodovikovsk,46.09,41.93,92.34,23,71,16.04
363,iranshahr,27.2,60.68,107.6,23,20,6.93
364,sicuani,-14.27,-71.23,39.2,75,13,1.92
365,tura,25.52,90.22,85.95,73,87,5.35
366,blyth,55.13,-1.51,65.59,72,40,10.29
367,san cristobal,7.77,-72.22,63.28,90,34,3.67
368,kabanjahe,3.1,98.49,86.31,70,40,9.17
369,yanam,16.73,82.22,86.0,74,75,6.93
370,taltal,-25.4,-70.48,53.58,78,24,0.47
371,alakurtti,66.97,30.35,68.0,57,41,5.99
372,barra patuca,15.8,-84.28,77.97,87,86,1.83
373,katangli,51.71,143.23,54.75,97,100,5.91
374,hosakote,14.28,77.17,76.1,76,100,19.35
375,ibotirama,-12.19,-43.22,64.47,76,0,2.53
376,big rapids,43.7,-85.48,56.37,100,1,5.48
377,weymouth,42.22,-70.94,59.18,93,90,10.29
378,sao gabriel da cachoeira,-0.13,-67.09,70.29,98,83,0.16
379,port shepstone,-30.74,30.45,67.71,26,0,7.81
380,port lincoln,-34.73,135.87,57.92,57,72,9.13
381,freeport,40.66,-73.58,70.61,73,1,9.17
382,praia,14.92,-23.51,77.0,69,75,11.41
383,lompoc,34.64,-120.46,57.83,82,0,1.23
384,kentau,43.52,68.51,100.92,10,4,11.86
385,simao,22.79,100.97,75.83,87,100,1.1
386,mujiayingzi,42.12,118.78,79.97,47,100,13.58
387,altay,47.87,88.12,89.76,20,5,6.51
388,belaya gora,68.53,146.42,53.85,46,49,6.06
389,coahuayana,18.73,-103.68,76.69,85,96,4.32
390,novo aripuana,-5.12,-60.38,71.62,84,39,1.59
391,jalu,29.03,21.55,95.07,23,0,1.83
392,sur,22.57,59.53,89.35,61,99,8.43
393,pontes e lacerda,-15.23,-59.34,64.24,48,0,1.61
394,otradnoye,59.78,30.82,66.36,39,0,7.27
395,vao,-22.67,167.48,69.48,69,0,18.3
396,funadhoo,6.15,73.27,84.25,75,92,9.64
397,narsaq,60.92,-46.05,53.6,32,40,4.7
398,dodge city,37.75,-100.02,71.6,94,20,8.05
399,parry sound,45.35,-80.03,68.0,93,9,3.0
400,binzhou,37.37,118.02,84.0,57,98,1.99
401,ratnagiri,16.98,73.3,80.64,84,99,15.55
402,waipawa,-41.41,175.52,49.8,76,100,4.7
403,kosh-agach,50.0,88.67,73.15,34,0,2.21
404,jumla,29.27,82.18,73.99,94,75,5.21
405,nouadhibou,20.93,-17.03,71.6,88,75,12.75
406,emmett,43.87,-116.5,63.34,56,0,2.91
407,thompson,55.74,-97.86,51.8,100,5,5.82
408,ossora,59.24,163.07,55.2,92,86,2.75
409,iisalmi,63.56,27.19,69.8,37,0,4.7
410,ionia,42.99,-85.07,61.47,93,1,4.7
411,saint-pierre,-21.34,55.48,66.2,73,98,19.46
412,el colorado,-26.31,-59.37,62.44,99,100,3.04
413,qaqortoq,60.72,-46.03,53.6,32,40,4.7
414,soderhamn,61.3,17.06,78.01,43,67,8.01
415,manzanillo,20.34,-77.12,74.64,89,92,5.08
416,mayahi,13.96,7.67,86.16,53,80,11.45
417,mandalgovi,45.76,106.27,65.23,33,79,17.85
418,west monroe,32.52,-92.15,72.41,94,1,3.04
419,omsukchan,62.53,155.8,52.61,86,37,3.04
420,pandamatenga,-18.53,25.63,64.31,32,0,8.86
421,vitim,59.45,112.56,66.24,48,76,5.46
422,kristinehamn,59.31,14.11,68.49,68,65,6.93
423,hobyo,5.35,48.53,85.19,54,99,28.21
424,constitucion,-35.33,-72.42,54.01,87,100,19.1
425,aswan,24.09,32.91,99.23,15,0,9.73
426,kuytun,54.34,101.5,63.86,84,64,9.15
427,fryanovo,56.13,38.45,65.93,68,40,8.95
428,yenangyaung,20.47,94.88,91.96,55,100,12.55
429,saint-augustin,51.23,-58.65,60.82,60,94,4.47
430,gohand,25.7,79.55,100.9,39,60,5.88
431,sao mateus do sul,-25.87,-50.38,54.3,99,90,0.87
432,kribi,2.95,9.92,77.43,87,92,6.71
433,seoul,37.57,126.98,83.1,58,1,7.85
434,sueyoshi,31.65,131.02,78.01,83,75,6.93
435,baykit,61.67,96.37,60.01,47,83,15.68
436,san patricio,19.22,-104.7,73.4,94,90,6.93
437,madison heights,42.49,-83.11,67.03,100,1,3.36
438,roald,62.58,6.13,58.98,93,75,6.93
439,broken hill,-31.95,141.43,53.6,48,0,8.05
440,kulu,39.1,33.08,81.61,41,0,11.77
441,barra,-11.09,-43.14,66.88,70,0,3.6
442,svetlaya,46.54,138.33,67.28,85,36,10.89
443,pimentel,-6.84,-79.93,59.88,91,6,8.3
444,boksitogorsk,59.47,33.85,57.24,87,100,6.62
445,malibu,34.01,-118.81,58.5,97,0,2.26
446,kokopo,-4.35,152.26,79.74,81,98,4.45
447,shahrud,36.42,54.98,85.57,23,0,11.65
448,hamilton,39.18,-84.53,67.82,100,1,1.7
449,north ogden,41.31,-111.96,71.4,28,1,10.29
450,lumsden,50.65,-104.87,63.25,72,20,16.11
451,golden,39.76,-105.22,64.38,40,1,8.08
452,pitimbu,-7.47,-34.81,69.8,100,75,4.7
453,bandar,2.05,99.75,87.91,62,25,1.81
454,tanout,14.97,8.89,88.72,45,73,10.51
455,chake chake,-5.25,39.77,78.24,50,29,21.7
456,coihaique,-45.58,-72.07,32.0,87,90,1.57
457,manuk mangkaw,4.8,119.85,83.48,68,55,6.71
458,anloga,5.79,0.9,77.0,83,20,8.05
459,surin,14.88,103.49,89.6,55,40,6.93
460,gbarnga,7.0,-9.47,70.45,89,100,0.13
461,padang,-0.95,100.35,83.34,73,56,4.25
462,wuchi,29.38,103.02,71.85,69,81,2.95
463,aykhal,66.0,111.5,64.4,55,75,6.71
464,lasa,46.62,10.7,55.4,58,75,8.05
465,haines junction,60.75,-137.51,47.55,83,100,4.23
466,bartica,6.4,-58.62,75.2,94,40,4.7
467,barrancas,10.96,-72.79,74.98,88,57,0.85
468,hami,42.8,93.45,93.4,15,38,2.84
469,xichang,27.9,102.26,74.46,74,99,2.77
470,aberdeen,57.14,-2.1,61.79,82,100,5.82
471,mogadishu,2.04,45.34,80.6,69,75,19.46
472,ipoh,4.58,101.08,89.29,62,40,3.36
473,hurghada,27.26,33.81,91.4,33,0,18.34
474,jimeta,9.28,12.47,81.64,70,100,6.69
475,hofn,64.25,-15.21,51.8,71,75,10.29
476,zhanaozen,43.3,52.8,102.94,10,0,8.05
477,kurchum,48.57,83.65,92.57,19,17,2.73
478,kenai,60.55,-151.26,54.32,87,75,9.17
479,hearst,49.68,-83.67,56.97,81,4,6.22
480,houston,29.76,-95.36,80.83,88,1,4.74
481,crowley,30.21,-92.37,73.0,97,0,6.73
482,maldonado,-34.67,-54.92,45.97,93,0,3.36
483,lithgow,-33.48,150.15,57.92,67,90,9.17
484,carballo,43.21,-8.69,71.51,60,34,4.7
485,north bend,43.41,-124.22,56.28,100,90,5.82
486,tiarei,-17.53,-149.33,73.2,94,20,3.36
487,klyuchi,52.27,79.17,90.5,39,2,17.6
488,kamaishi,39.27,141.88,69.8,83,75,8.05
489,chimoio,-19.12,33.48,60.37,77,75,21.92
490,belyy yar,53.6,91.39,75.2,60,42,8.95
491,iskateley,67.68,53.15,60.24,61,96,13.91
492,chapada dos guimaraes,-15.46,-55.75,62.6,72,0,8.05
493,mineiros,-17.57,-52.55,58.87,56,0,2.82
494,emerald,-23.53,148.17,56.26,33,0,6.93
495,pochutla,15.74,-96.47,74.84,64,78,3.33
